,behavior_type,control_type,episode,severe_low,mild_low,high,total,average_speed,max_acc,min_acc,average_acc,average_distance
0,0,lstm_with_monitor,0,1,0,0,1,4.457870701217564,12.873191833496094,-9.230093955993652,1.4565624712105625,20.12786241179531
1,0,lstm_with_monitor,1,1,0,0,1,4.467713392962198,12.873191833496094,-7.379961013793945,1.424756488429953,20.20534517548301
2,0,lstm_with_monitor,2,0,0,0,0,4.383719483675755,12.873191833496094,-9.935555458068848,1.4917938082876174,19.867757407240212
3,0,lstm_with_monitor,3,0,0,0,0,4.432873307102045,12.873191833496094,-10.608129501342772,1.4971661169032815,20.063593199945267
4,0,lstm_with_monitor,4,0,0,0,0,4.450854093975322,12.873191833496094,-10.249667167663574,1.469049266484777,19.93996105687904
5,0,lstm_with_monitor,5,0,0,0,0,4.447348737582508,12.873191833496094,-8.62213134765625,1.5000962340376964,20.068246869207584
6,0,lstm_with_monitor,6,1,0,0,1,4.508557596148909,12.873191833496094,-8.160467147827148,1.3932241381548216,19.90463195237957
7,0,lstm_with_monitor,7,0,0,0,0,4.443617703867431,12.873191833496094,-9.553771018981934,1.497252900588486,20.347358798980714
8,0,lstm_with_monitor,8,0,0,1,1,4.567322750439797,12.873191833496094,-10.608782768249512,1.508251291706301,19.946707232898433
9,0,lstm_with_monitor,9,0,0,0,0,4.51128840522775,12.873225212097168,-10.29088020324707,1.4214112367886078,20.041165764605413
10,0,lstm_with_monitor,10,0,0,0,0,4.464749701060733,12.875804901123049,-10.210795402526855,1.4874683961810096,20.09952512035122
11,0,lstm_with_monitor,11,1,0,0,1,4.586063559632392,12.873191833496094,-8.820199966430664,1.5712982607687944,19.795149297714232
12,0,lstm_with_monitor,12,1,0,0,1,4.451169598831458,12.873191833496094,-8.307027816772461,1.475262081606862,20.13252515082992
13,0,lstm_with_monitor,13,1,0,1,2,4.6131443234094895,12.873191833496094,-6.548027992248535,1.5083422748213484,20.047824799219768
14,0,lstm_with_monitor,14,0,0,0,0,4.437015121291617,12.873144149780272,-10.653514862060549,1.4338670992007012,20.142974173638127
15,0,lstm_with_monitor,15,0,0,0,0,4.4303420435333365,12.873191833496094,-10.608782768249512,1.5249603456894993,19.89397541784471
16,0,lstm_with_monitor,16,1,0,0,1,4.461849792261394,12.873191833496094,-7.38642692565918,1.4333840377108307,20.202916324912728
17,0,lstm_with_monitor,17,0,0,0,0,4.415987468015814,12.873191833496094,-8.837027549743652,1.4722914391722823,20.118910099532442
18,0,lstm_with_monitor,18,1,0,0,1,4.49709483297519,12.873191833496094,-9.952058792114258,1.3883452958221385,19.964183131074595
19,0,lstm_with_monitor,19,0,1,1,1,4.567650195266327,12.875804901123049,-8.594655990600586,1.5038373882011362,19.9686416821764
20,0,lstm_with_monitor,20,0,0,0,0,4.460612315719626,12.877545356750488,-8.159322738647461,1.4903940201689485,20.247272059369628
21,0,lstm_with_monitor,21,0,0,0,0,4.458647171379773,12.873172760009766,-7.098960876464844,1.3523648592071507,19.91266259280118
22,0,lstm_with_monitor,22,0,1,0,0,4.4414368006307186,12.873191833496094,-10.608782768249512,1.4401612945797495,20.19035457795666
23,0,lstm_with_monitor,23,0,0,0,0,4.426574111110232,12.873191833496094,-9.550809860229492,1.5042454643280772,20.085514712563665
24,0,lstm_with_monitor,24,0,0,0,0,4.390699547334283,12.873191833496094,-8.85838508605957,1.5348805035165751,20.229748217061687
25,0,lstm_with_monitor,25,0,0,1,1,4.5904483694320595,13.26200008392334,-10.608782768249512,1.5405558141486735,19.975559367249343
26,0,lstm_with_monitor,26,1,0,0,1,4.656422002976902,12.873172760009766,-8.47973346710205,1.6822836605807285,19.916632117451847
27,0,lstm_with_monitor,27,1,0,0,1,4.411032910907698,12.873191833496094,-6.863818168640137,1.318313317017181,20.22535568151992
28,0,lstm_with_monitor,28,0,1,0,0,4.624365650571799,12.873191833496094,-9.107060432434082,1.6411009119686029,20.19310083038432
29,0,lstm_with_monitor,29,0,0,0,0,4.516991491782209,12.873191833496094,-10.249667167663574,1.425294175714823,19.505809494093352
30,0,lstm_with_monitor,0,1,0,0,1,4.4853040463157186,12.873191833496094,-8.516068458557129,1.4924061347880662,19.89980345362561
31,0,lstm_with_monitor,1,0,0,0,0,4.478881018053914,12.873172760009766,-7.07176685333252,1.5030900814458827,19.98082717932785
32,0,lstm_with_monitor,2,0,0,0,0,4.508994608414849,12.873191833496094,-8.092756271362305,1.436095375179289,19.93408921351198
33,0,lstm_with_monitor,3,0,0,1,1,4.570002401554635,12.873191833496094,-8.897528648376465,1.5292469313250432,19.875104362815126
34,0,lstm_with_monitor,4,1,0,0,1,4.543298158971976,12.873191833496094,-8.027405738830566,1.3038480049013133,19.498387321045524
35,0,lstm_with_monitor,5,0,0,0,0,4.269555275621157,12.873191833496094,-9.392118453979492,1.4037621185409843,19.84990497838671
36,0,lstm_with_monitor,6,0,0,0,0,4.426286439242759,12.873191833496094,-10.249667167663574,1.4890806899830302,19.75625387314827
37,0,lstm_with_monitor,7,0,0,0,0,4.451980220057134,12.873191833496094,-10.608782768249512,1.4208859603742041,20.183532295103596
38,0,lstm_with_monitor,8,0,0,0,0,4.45185308778642,12.873191833496094,-10.608782768249512,1.3957151416251596,20.041037608890473
39,0,lstm_with_monitor,9,0,0,0,0,4.460942729708525,12.873172760009766,-7.563772201538086,1.3698172983812402,19.928960583426736
40,0,lstm_with_monitor,10,0,0,0,0,2.304396367132641,12.873191833496094,-9.233665466308594,0.7612067787220583,19.921360818545022
